N Nodes,Vertices,Edges,Attemps,Operations,Time
5,5,1,1,2,0.0000
5,5,2,3,4,0.0000
5,5,5,31,52,0.0000
5,5,7,127,236,0.0020
6,6,1,1,2,0.0000
6,6,3,7,14,0.0000
6,6,7,127,234,0.0020
6,6,11,2047,3914,0.0432
7,7,2,3,6,0.0000
7,7,5,31,52,0.0000
7,7,10,1023,1882,0.0201
7,7,15,32767,63550,1.0730
8,8,3,7,8,0.0000
8,8,7,127,226,0.0020
8,8,14,16383,30662,0.4587
8,8,21,2097151,4148916,102.3040
9,9,4,15,24,0.0000
9,9,9,511,692,0.0090
9,9,18,262143,496478,11.8738
