letter   Ocurrences   
         64942       
I        58982       
E        58225       
O        49312       
A        40611       
N        39056       
T        37127       
S        34867       
R        30055       
C        20922       
P        19009       
L        16133       
M        16103       
D        10812       
U        10642       
Z        8747        
G        8684        
V        6907        
F        5705        
B        2466        
H        2205        
Q        1722        
À        1450        
Ò        794         
1        628         
È        565         
2        462         
Ì        371         
3        239         
6        198         
8        193         
5        173         
7        166         
4        157         
0        156         
9        148         
K        72          
W        64          
º        39          
Ü        38          
Ä        33          
Y        22          
Ù        12          
X        12          
ª        7           
Ö        7           
Α        5           
É        5           
Γ        4           
Σ        3           
J        2           
Β        2           
Î        2           
Δ        1           
Ε        1           
Φ        1           
Ἴ        1           
Θ        1           
Η        1           
Ι        1           
