Size (kb): 440.353515625 
Time: 0.0191 

letter   Ocurrences   
         60546       
E        49126       
N        30560       
I        30435       
T        28934       
R        28606       
A        28599       
S        26963       
O        25025       
L        17086       
D        16900       
C        15403       
U        11603       
M        10746       
P        10713       
G        8637        
H        8274        
F        6105        
Y        5977        
W        4853        
V        4768        
B        4384        
1        2226        
K        2155        
2        1522        
J        1486        
0        1289        
8        1258        
3        1252        
X        1056        
4        908         
5        681         
9        658         
7        627         
6        590         
Q        564         
Z        217         
É        34          
È        17          
Ô        13          
Æ        10          
½        7           
Œ        5           
Â        3           
À        2           
Ê        2           
Î        1           
Ü        1           
