N Nodes      Vertices     Edges      Attemps         Operations      Time          Dominant Set
46           46           517        3781            22              0.0448        {(7, 17), (25, 44), (3, 19), (14, 31), (8, 21), (41, 42), (10, 36), (43, 45), (26, 35), (6, 38), (22, 28), (12, 33), (11, 16), (1, 23), (9, 40), (2, 37), (18, 24), (29, 30), (4, 13), (20, 39), (27, 32), (0, 15)}
46           46           776        5780            23              0.0906        {(42, 45), (2, 36), (1, 40), (21, 25), (14, 28), (3, 37), (0, 23), (5, 34), (10, 27), (7, 16), (33, 35), (13, 32), (15, 38), (4, 11), (12, 18), (6, 44), (19, 41), (29, 30), (26, 43), (20, 39), (9, 24), (8, 22), (17, 31)}
47           47           135        872             20              0.0046        {(2, 36), (33, 45), (1, 40), (13, 42), (10, 43), (29, 44), (7, 41), (4, 39), (6, 20), (11, 38), (3, 9), (14, 15), (0, 16), (8, 26), (18, 21), (24, 34), (27, 32), (19, 28), (30, 31), (37, 46)}
47           47           270        1710            20              0.0136        {(43, 46), (24, 36), (18, 44), (21, 37), (12, 34), (14, 31), (4, 39), (6, 11), (10, 27), (41, 45), (32, 42), (38, 40), (8, 29), (16, 30), (15, 28), (7, 33), (23, 26), (0, 9), (1, 13), (19, 22)}
47           47           540        4087            23              0.0490        {(26, 30), (24, 36), (20, 29), (8, 9), (18, 44), (12, 31), (23, 34), (3, 37), (4, 39), (11, 32), (6, 17), (10, 45), (2, 41), (16, 40), (22, 25), (14, 42), (1, 38), (0, 46), (7, 33), (15, 43), (19, 28), (27, 35), (13, 21)}
47           47           810        6231            23              0.0996        {(35, 36), (10, 12), (9, 38), (32, 45), (14, 18), (3, 15), (16, 46), (7, 43), (23, 42), (2, 13), (0, 25), (24, 28), (17, 44), (8, 41), (1, 29), (11, 40), (21, 26), (22, 27), (4, 19), (6, 34), (31, 33), (20, 39), (30, 37)}
48           48           141        897             19              0.0048        {(33, 45), (13, 42), (18, 44), (3, 22), (31, 38), (40, 47), (27, 37), (1, 30), (14, 15), (21, 36), (0, 4), (8, 29), (2, 28), (9, 43), (24, 34), (32, 41), (11, 46), (7, 39), (10, 16)}
48           48           282        1848            22              0.0149        {(30, 46), (24, 36), (33, 45), (7, 29), (25, 47), (18, 44), (21, 34), (3, 22), (5, 19), (2, 8), (4, 39), (10, 27), (11, 38), (16, 37), (14, 15), (32, 41), (23, 26), (40, 42), (0, 9), (6, 43), (1, 13), (28, 31)}
48           48           564        4280            23              0.0521        {(3, 10), (9, 20), (27, 37), (14, 46), (30, 36), (1, 24), (7, 25), (35, 47), (38, 40), (12, 33), (21, 45), (23, 42), (2, 16), (0, 22), (19, 44), (32, 41), (4, 13), (29, 39), (6, 43), (5, 26), (17, 31), (8, 28), (11, 18)}
48           48           846        6656            23              0.1085        {(13, 36), (3, 25), (29, 41), (6, 45), (31, 44), (23, 43), (8, 27), (5, 40), (17, 39), (7, 16), (1, 24), (2, 32), (21, 30), (20, 22), (4, 11), (14, 15), (9, 28), (19, 26), (33, 37), (10, 38), (35, 46), (12, 47), (0, 18)}
49           49           147        1026            21              0.0056        {(2, 36), (0, 45), (1, 40), (15, 48), (12, 34), (4, 39), (27, 46), (35, 38), (6, 29), (21, 33), (22, 28), (7, 43), (9, 13), (14, 42), (24, 31), (16, 30), (32, 44), (11, 37), (10, 41), (5, 17), (8, 19)}
49           49           294        2057            23              0.0169        {(13, 30), (6, 18), (8, 46), (33, 48), (7, 35), (16, 41), (29, 32), (3, 22), (12, 34), (1, 9), (4, 39), (10, 27), (11, 38), (14, 24), (36, 45), (19, 44), (23, 26), (40, 42), (5, 17), (0, 15), (28, 31), (37, 43), (2, 21)}
49           49           588        4543            24              0.0565        {(32, 40), (15, 33), (18, 35), (4, 27), (12, 34), (1, 9), (0, 23), (22, 47), (30, 36), (25, 31), (13, 29), (8, 45), (2, 41), (3, 6), (10, 48), (20, 28), (14, 24), (19, 26), (16, 21), (42, 43), (11, 37), (44, 46), (38, 39), (5, 17)}
49           49           882        7030            24              0.1174        {(7, 23), (15, 30), (12, 19), (3, 16), (4, 27), (11, 14), (39, 48), (21, 46), (0, 35), (6, 8), (1, 33), (2, 32), (42, 44), (24, 41), (5, 9), (22, 25), (26, 47), (31, 34), (20, 40), (10, 17), (29, 36), (38, 45), (28, 37), (13, 18)}
50           50           153        1010            21              0.0056        {(21, 25), (39, 42), (12, 34), (27, 46), (10, 33), (1, 24), (28, 48), (32, 36), (11, 41), (43, 45), (0, 44), (6, 29), (14, 15), (22, 37), (4, 38), (8, 26), (9, 31), (16, 30), (7, 18), (13, 40), (35, 49)}
50           50           306        2229            22              0.0186        {(6, 18), (11, 45), (4, 9), (13, 42), (30, 46), (29, 32), (31, 44), (0, 14), (8, 24), (34, 49), (1, 36), (20, 25), (35, 47), (7, 43), (19, 23), (27, 39), (2, 22), (16, 21), (33, 40), (15, 28), (10, 41), (38, 48)}
50           50           612        4795            24              0.0607        {(3, 7), (8, 30), (4, 39), (0, 20), (5, 37), (11, 35), (28, 45), (13, 41), (29, 40), (16, 46), (2, 15), (47, 48), (42, 43), (18, 21), (6, 19), (24, 31), (25, 36), (1, 38), (26, 34), (14, 23), (27, 32), (12, 44), (9, 33), (10, 22)}
50           50           918        7342            24              0.1242        {(7, 35), (29, 38), (8, 18), (23, 34), (20, 41), (4, 36), (17, 42), (10, 27), (32, 39), (14, 15), (12, 33), (0, 19), (11, 25), (2, 22), (1, 26), (30, 47), (13, 40), (3, 5), (9, 49), (6, 37), (24, 46), (16, 45), (21, 44), (28, 43)}
51           51           159        1049            20              0.0057        {(0, 45), (21, 25), (28, 48), (32, 36), (44, 50), (6, 29), (22, 37), (27, 42), (10, 41), (13, 40), (16, 33), (11, 46), (1, 38), (35, 49), (7, 39), (9, 18), (12, 47), (4, 43), (2, 15), (30, 31)}
51           51           318        2345            25              0.0197        {(9, 39), (6, 18), (26, 30), (11, 45), (15, 33), (21, 25), (38, 50), (40, 47), (3, 22), (7, 16), (28, 48), (1, 27), (32, 36), (2, 35), (24, 41), (29, 43), (8, 14), (31, 34), (23, 42), (19, 44), (0, 37), (4, 10), (13, 46), (12, 20), (17, 49)}
51           51           637        4991            24              0.0640        {(11, 39), (10, 43), (7, 26), (40, 41), (15, 48), (0, 14), (28, 30), (21, 46), (2, 8), (13, 23), (9, 50), (12, 33), (22, 31), (1, 20), (19, 44), (32, 35), (25, 27), (24, 37), (3, 5), (4, 16), (29, 36), (38, 45), (18, 42), (17, 49)}
51           51           956        7893            25              0.1372        {(25, 32), (26, 39), (18, 35), (8, 9), (20, 38), (0, 14), (27, 31), (19, 45), (24, 41), (43, 48), (46, 47), (4, 11), (3, 33), (12, 42), (37, 44), (1, 29), (15, 28), (2, 40), (21, 23), (7, 30), (13, 49), (6, 34), (10, 22), (16, 17), (36, 50)}
52           52           165        1116            22              0.0062        {(33, 51), (7, 38), (2, 48), (20, 29), (31, 44), (21, 37), (34, 49), (4, 39), (36, 46), (1, 24), (41, 45), (11, 50), (3, 6), (35, 47), (14, 15), (8, 26), (30, 32), (27, 42), (13, 28), (9, 43), (0, 40), (10, 16)}
52           52           331        2441            24              0.0209        {(6, 18), (11, 45), (10, 43), (30, 46), (4, 15), (7, 38), (22, 26), (21, 37), (29, 50), (23, 40), (3, 31), (2, 8), (13, 14), (34, 49), (17, 42), (24, 47), (32, 48), (1, 51), (36, 39), (19, 44), (16, 33), (12, 20), (0, 9), (27, 41)}
52           52           663        5532            25              0.0724        {(15, 30), (13, 36), (21, 40), (5, 22), (11, 32), (9, 47), (41, 48), (3, 6), (8, 20), (19, 26), (28, 38), (4, 50), (0, 25), (27, 45), (33, 37), (42, 43), (24, 31), (7, 18), (35, 46), (14, 23), (29, 39), (16, 51), (2, 12), (1, 10), (17, 34)}
52           52           994        8481            26              0.1520        {(41, 43), (9, 48), (24, 36), (15, 39), (12, 19), (3, 28), (23, 34), (0, 14), (21, 46), (2, 8), (1, 18), (37, 45), (11, 32), (44, 47), (6, 26), (35, 50), (20, 40), (13, 16), (10, 38), (29, 30), (7, 33), (22, 27), (5, 17), (31, 42), (4, 25), (49, 51)}
53           53           172        1167            22              0.0066        {(10, 43), (16, 35), (21, 25), (18, 44), (2, 8), (30, 42), (27, 49), (28, 48), (41, 45), (15, 32), (1, 36), (6, 29), (4, 38), (19, 26), (0, 22), (14, 51), (37, 50), (24, 31), (13, 40), (11, 46), (7, 39), (9, 33)}
53           53           344        2618            25              0.0231        {(15, 24), (26, 30), (43, 46), (11, 45), (33, 51), (29, 32), (21, 34), (3, 37), (2, 8), (27, 49), (28, 48), (25, 31), (1, 39), (13, 41), (35, 47), (20, 22), (23, 36), (4, 38), (14, 42), (6, 7), (19, 44), (16, 18), (10, 50), (0, 9), (17, 40)}
53           53           689        5810            25              0.0767        {(19, 49), (26, 30), (13, 51), (23, 25), (5, 22), (37, 45), (10, 39), (11, 32), (28, 48), (2, 35), (33, 47), (21, 27), (14, 15), (29, 40), (7, 34), (4, 50), (17, 44), (8, 41), (9, 43), (24, 31), (0, 46), (18, 36), (20, 42), (12, 38), (1, 16)}
53           53           1033       9076            26              0.1659        {(19, 49), (2, 36), (6, 24), (18, 35), (13, 45), (22, 23), (43, 52), (29, 32), (21, 37), (40, 50), (8, 27), (7, 16), (9, 47), (1, 33), (4, 11), (39, 41), (10, 17), (14, 48), (15, 28), (25, 42), (0, 46), (12, 20), (3, 26), (38, 51), (30, 31), (5, 44)}
54           54           178        1199            20              0.0069        {(15, 30), (11, 39), (2, 48), (21, 25), (18, 44), (31, 38), (16, 53), (7, 10), (41, 45), (43, 51), (46, 50), (22, 28), (4, 32), (19, 26), (27, 36), (42, 49), (1, 35), (0, 6), (9, 33), (8, 37)}
54           54           357        2777            23              0.0249        {(19, 49), (4, 9), (25, 47), (15, 48), (31, 38), (50, 51), (10, 36), (24, 35), (1, 39), (2, 32), (43, 45), (11, 44), (13, 41), (6, 29), (23, 33), (14, 42), (16, 18), (0, 46), (20, 30), (22, 27), (21, 53), (17, 40), (8, 37)}
54           54           715        6019            26              0.0801        {(0, 42), (15, 48), (21, 37), (12, 43), (47, 52), (11, 38), (13, 29), (30, 45), (20, 25), (2, 41), (3, 6), (22, 28), (23, 27), (14, 33), (1, 5), (36, 51), (4, 50), (8, 32), (17, 44), (35, 40), (9, 49), (26, 31), (19, 53), (24, 46), (18, 39), (10, 16)}
54           54           1073       9437            26              0.1778        {(6, 12), (25, 29), (15, 24), (26, 30), (9, 48), (5, 7), (39, 42), (8, 18), (4, 36), (22, 41), (17, 33), (31, 53), (34, 52), (2, 32), (11, 50), (38, 40), (21, 45), (14, 27), (10, 20), (19, 44), (0, 37), (35, 49), (13, 46), (3, 23), (16, 51), (28, 43)}
55           55           185        1448            24              0.0083        {(6, 18), (15, 30), (9, 48), (10, 43), (2, 45), (35, 54), (39, 42), (38, 50), (27, 34), (14, 49), (11, 41), (22, 37), (23, 36), (4, 32), (8, 26), (13, 28), (24, 31), (33, 40), (19, 47), (0, 46), (16, 51), (1, 7), (3, 44), (21, 53)}
55           55           371        2946            24              0.0261        {(47, 53), (2, 36), (13, 45), (6, 27), (11, 51), (4, 15), (29, 32), (24, 54), (7, 35), (17, 21), (8, 18), (12, 46), (10, 48), (0, 16), (22, 40), (23, 39), (37, 44), (9, 43), (41, 50), (1, 38), (31, 33), (20, 42), (5, 26), (28, 49)}
55           55           742        6385            26              0.0862        {(27, 47), (7, 17), (1, 31), (43, 46), (0, 45), (16, 35), (29, 41), (8, 18), (21, 37), (36, 40), (14, 49), (34, 52), (10, 39), (13, 32), (11, 50), (15, 38), (48, 53), (23, 33), (3, 24), (9, 28), (51, 54), (20, 30), (4, 25), (5, 26), (19, 22), (12, 44)}
55           55           1113       10037           27              0.1932        {(28, 52), (42, 48), (44, 51), (35, 45), (4, 15), (3, 25), (18, 50), (8, 27), (13, 17), (31, 53), (5, 49), (1, 24), (16, 22), (10, 36), (2, 32), (33, 41), (19, 54), (7, 37), (21, 30), (26, 47), (29, 40), (23, 39), (11, 46), (12, 20), (6, 34), (0, 9), (14, 38)}
56           56           192        1461            23              0.0086        {(6, 18), (15, 24), (51, 53), (10, 43), (16, 35), (2, 45), (39, 42), (31, 38), (21, 37), (4, 30), (34, 49), (11, 41), (23, 33), (8, 26), (13, 28), (5, 48), (19, 47), (0, 46), (9, 55), (1, 7), (27, 32), (3, 44), (36, 50)}
56           56           385        3138            26              0.0282        {(25, 32), (10, 43), (7, 35), (6, 33), (52, 55), (24, 48), (29, 41), (20, 38), (21, 37), (17, 18), (2, 8), (11, 26), (36, 46), (30, 42), (9, 53), (1, 45), (14, 15), (13, 50), (23, 27), (0, 4), (22, 40), (19, 47), (31, 39), (16, 51), (3, 44), (28, 49)}
56           56           770        6764            27              0.0936        {(47, 53), (10, 40), (30, 49), (41, 46), (35, 45), (0, 51), (20, 38), (3, 31), (17, 42), (18, 28), (8, 54), (13, 50), (21, 36), (14, 24), (22, 37), (4, 29), (19, 23), (5, 33), (7, 9), (15, 16), (1, 44), (25, 39), (2, 43), (26, 34), (11, 12), (48, 55), (27, 32)}
56           56           1155       10452           28              0.2070        {(10, 37), (1, 28), (47, 53), (15, 39), (13, 45), (26, 42), (52, 55), (24, 54), (21, 46), (7, 16), (0, 38), (2, 41), (8, 51), (4, 11), (18, 40), (20, 34), (29, 49), (22, 31), (9, 19), (14, 33), (12, 48), (27, 36), (30, 35), (32, 50), (3, 23), (6, 43), (17, 25), (5, 44)}
57           57           199        1561            24              0.0090        {(14, 53), (9, 48), (16, 35), (42, 51), (1, 49), (3, 22), (26, 54), (7, 44), (2, 8), (37, 45), (27, 34), (30, 39), (10, 36), (11, 38), (6, 29), (46, 50), (5, 24), (19, 23), (4, 41), (13, 28), (43, 56), (31, 33), (21, 32), (0, 15)}
57           57           399        3330            26              0.0302        {(27, 56), (30, 46), (4, 9), (6, 33), (2, 48), (39, 51), (17, 18), (5, 28), (20, 53), (0, 29), (10, 36), (16, 31), (43, 45), (25, 37), (24, 47), (7, 34), (14, 15), (13, 50), (19, 26), (8, 38), (11, 49), (1, 41), (21, 32), (23, 35), (40, 54), (22, 42)}
57           57           798        7127            28              0.0995        {(13, 30), (25, 32), (1, 34), (2, 45), (38, 41), (21, 37), (12, 43), (4, 39), (20, 53), (11, 29), (33, 47), (3, 24), (9, 19), (23, 42), (14, 51), (6, 10), (17, 44), (28, 56), (7, 18), (16, 27), (0, 46), (15, 40), (35, 52), (49, 54), (5, 26), (48, 55), (8, 22), (36, 50)}
57           57           1197       11096           28              0.2243        {(11, 36), (28, 52), (25, 38), (1, 34), (9, 51), (17, 18), (29, 50), (4, 39), (14, 49), (42, 47), (2, 32), (30, 54), (43, 45), (24, 41), (33, 56), (7, 31), (3, 15), (16, 46), (8, 20), (23, 48), (13, 40), (21, 26), (6, 37), (10, 53), (19, 22), (5, 35), (12, 44), (0, 27)}
58           58           206        1540            24              0.0091        {(14, 53), (28, 52), (43, 46), (2, 45), (33, 51), (24, 48), (31, 38), (49, 56), (21, 37), (6, 57), (5, 40), (7, 10), (30, 42), (11, 44), (15, 41), (9, 13), (36, 39), (4, 32), (19, 26), (23, 54), (22, 55), (1, 35), (8, 50), (0, 27)}
58           58           413        3435            27              0.0314        {(6, 18), (19, 49), (43, 46), (42, 48), (25, 47), (7, 35), (22, 23), (39, 51), (17, 33), (9, 29), (11, 26), (5, 40), (54, 55), (37, 57), (14, 15), (13, 50), (21, 36), (0, 4), (2, 16), (1, 20), (8, 41), (24, 31), (28, 53), (10, 56), (38, 45), (27, 32), (3, 44)}
58           58           826        7575            28              0.1076        {(9, 57), (35, 48), (8, 18), (7, 44), (29, 50), (16, 56), (21, 46), (17, 33), (25, 28), (1, 24), (10, 39), (30, 45), (13, 32), (38, 40), (14, 15), (31, 34), (0, 4), (49, 55), (23, 42), (6, 53), (19, 26), (2, 22), (11, 37), (3, 5), (51, 54), (20, 36), (12, 47), (27, 41)}
58           58           1239       11753           29              0.2442        {(55, 57), (24, 33), (30, 49), (6, 27), (35, 45), (12, 19), (5, 7), (0, 8), (1, 9), (42, 44), (11, 47), (13, 32), (2, 41), (16, 40), (14, 15), (46, 50), (31, 37), (4, 26), (34, 48), (22, 52), (25, 36), (10, 56), (21, 29), (3, 17), (18, 39), (38, 51), (20, 54), (23, 53), (28, 43)}
59           59           213        1671            25              0.0100        {(27, 53), (15, 24), (30, 46), (41, 58), (1, 49), (7, 32), (38, 50), (31, 44), (39, 51), (2, 8), (11, 26), (5, 40), (10, 36), (19, 48), (6, 29), (0, 4), (21, 45), (14, 42), (9, 34), (22, 55), (33, 37), (13, 28), (43, 56), (16, 57), (18, 54)}
59           59           427        3703            27              0.0347        {(6, 18), (30, 46), (25, 47), (13, 45), (35, 54), (8, 9), (29, 41), (20, 38), (39, 57), (11, 26), (3, 55), (10, 36), (16, 31), (1, 51), (14, 15), (7, 40), (48, 53), (22, 37), (23, 42), (4, 32), (17, 44), (50, 56), (24, 49), (33, 58), (2, 21), (0, 27), (28, 43)}
59           59           855        8040            29              0.1160        {(15, 24), (7, 35), (22, 23), (8, 58), (16, 50), (26, 57), (2, 11), (28, 30), (21, 46), (0, 17), (3, 31), (5, 49), (10, 36), (33, 44), (18, 25), (39, 56), (14, 42), (9, 34), (37, 53), (19, 41), (1, 38), (4, 13), (29, 45), (6, 43), (40, 54), (20, 51), (27, 32), (48, 55), (12, 47)}
59           59           1283       12296           29              0.2598        {(6, 27), (5, 7), (52, 55), (15, 51), (16, 44), (20, 50), (22, 41), (0, 29), (8, 11), (24, 53), (23, 33), (21, 45), (4, 32), (3, 42), (2, 19), (9, 34), (12, 57), (28, 47), (1, 35), (10, 56), (39, 40), (48, 49), (14, 26), (13, 58), (18, 54), (17, 25), (36, 38), (30, 31), (37, 46)}
60           60           221        1824            27              0.0108        {(25, 29), (9, 48), (28, 55), (13, 42), (2, 45), (7, 38), (21, 34), (4, 30), (5, 40), (10, 36), (33, 44), (1, 39), (15, 32), (11, 41), (3, 6), (46, 50), (26, 53), (18, 58), (23, 54), (14, 51), (56, 57), (24, 31), (19, 47), (35, 49), (43, 59), (8, 37), (0, 27)}
60           60           442        3907            28              0.0371        {(2, 48), (35, 54), (14, 28), (0, 23), (39, 57), (30, 42), (25, 31), (3, 12), (9, 56), (13, 50), (4, 20), (22, 40), (16, 58), (45, 51), (6, 7), (8, 32), (33, 37), (17, 44), (18, 21), (19, 47), (24, 34), (1, 41), (10, 53), (29, 36), (43, 59), (5, 26), (11, 15), (27, 38)}
60           60           885        8366            30              0.1216        {(24, 30), (20, 23), (18, 35), (46, 54), (29, 41), (7, 44), (0, 14), (45, 49), (12, 52), (10, 36), (33, 47), (32, 51), (3, 6), (2, 59), (31, 34), (26, 53), (40, 58), (11, 13), (4, 38), (15, 16), (37, 56), (9, 43), (27, 57), (25, 39), (5, 17), (48, 55), (22, 42), (21, 50), (8, 28), (1, 19)}
60           60           1327       12982           29              0.2787        {(16, 20), (15, 24), (30, 46), (13, 36), (17, 58), (44, 48), (43, 52), (25, 53), (12, 34), (14, 37), (8, 27), (0, 26), (2, 29), (18, 19), (41, 54), (1, 51), (35, 50), (6, 38), (10, 11), (22, 40), (3, 39), (21, 57), (42, 49), (4, 56), (32, 59), (7, 45), (23, 47), (28, 31), (9, 33)}
61           61           228        1775            23              0.0109        {(27, 53), (16, 35), (11, 51), (4, 18), (26, 54), (31, 38), (23, 46), (7, 10), (30, 42), (32, 36), (1, 39), (0, 50), (6, 29), (15, 41), (14, 24), (9, 13), (21, 45), (37, 44), (56, 57), (22, 55), (5, 48), (43, 59), (33, 58)}
61           61           457        3935            27              0.0379        {(47, 53), (7, 23), (9, 48), (43, 46), (16, 32), (21, 25), (35, 60), (0, 14), (5, 28), (20, 56), (4, 39), (11, 26), (17, 42), (10, 27), (37, 54), (8, 51), (3, 6), (15, 38), (24, 41), (1, 45), (13, 50), (18, 40), (57, 59), (22, 55), (2, 31), (29, 36), (33, 58)}
61           61           915        8786            30              0.1300        {(1, 28), (13, 27), (51, 53), (9, 57), (52, 55), (22, 32), (0, 14), (29, 50), (16, 56), (21, 46), (4, 39), (11, 20), (5, 40), (17, 42), (24, 35), (10, 45), (2, 47), (6, 44), (34, 48), (3, 54), (33, 37), (7, 12), (8, 41), (25, 36), (58, 60), (19, 59), (26, 43), (23, 38), (30, 31), (15, 18)}
61           61           1372       13575           30              0.2953        {(22, 60), (47, 59), (8, 46), (44, 48), (5, 28), (4, 36), (7, 53), (10, 21), (1, 12), (6, 11), (0, 29), (15, 17), (51, 55), (32, 45), (18, 37), (2, 50), (26, 56), (23, 42), (49, 58), (14, 39), (30, 38), (16, 27), (13, 34), (35, 40), (33, 52), (19, 25), (9, 24), (20, 54), (3, 41), (31, 57)}
62           62           236        1935            27              0.0117        {(0, 30), (28, 52), (9, 48), (24, 36), (16, 35), (41, 58), (51, 56), (2, 45), (13, 54), (4, 33), (38, 59), (12, 34), (7, 53), (14, 49), (1, 39), (20, 22), (46, 50), (29, 43), (19, 23), (8, 26), (27, 42), (37, 44), (21, 32), (11, 15), (18, 57), (6, 61), (10, 31)}
62           62           472        4188            30              0.0407        {(47, 53), (30, 43), (9, 48), (18, 20), (7, 26), (51, 56), (52, 61), (22, 23), (3, 25), (19, 40), (12, 34), (0, 14), (38, 59), (36, 37), (46, 60), (39, 57), (17, 42), (10, 27), (24, 35), (15, 32), (11, 44), (1, 45), (21, 33), (13, 50), (6, 41), (8, 29), (4, 16), (2, 58), (31, 54), (28, 49)}
62           62           945        9233            31              0.1392        {(11, 36), (25, 32), (16, 29), (9, 48), (13, 57), (0, 5), (7, 44), (31, 47), (10, 21), (4, 39), (34, 52), (45, 58), (1, 24), (41, 51), (8, 54), (35, 38), (18, 28), (30, 60), (14, 15), (33, 53), (12, 27), (40, 49), (17, 20), (2, 22), (42, 43), (50, 56), (19, 59), (3, 23), (26, 61), (6, 55), (37, 46)}
62           62           1418       14425           30              0.3173        {(9, 42), (25, 47), (18, 35), (38, 41), (1, 6), (49, 53), (26, 57), (28, 30), (27, 31), (17, 39), (19, 54), (51, 58), (2, 50), (14, 24), (10, 11), (12, 36), (40, 61), (34, 48), (22, 52), (20, 55), (4, 56), (13, 37), (8, 59), (7, 33), (15, 46), (29, 45), (16, 60), (3, 32), (0, 21), (5, 44)}
63           63           244        2048            27              0.0128        {(9, 39), (41, 43), (15, 30), (28, 55), (25, 47), (10, 58), (11, 51), (35, 54), (29, 44), (7, 53), (36, 50), (5, 40), (1, 24), (19, 48), (27, 61), (46, 56), (18, 49), (0, 4), (3, 42), (21, 57), (2, 13), (38, 45), (31, 33), (14, 26), (23, 32), (8, 37), (34, 59)}
63           63           488        4419            29              0.0432        {(7, 17), (28, 52), (25, 47), (6, 33), (9, 60), (3, 19), (1, 58), (22, 26), (13, 51), (21, 37), (29, 50), (23, 49), (32, 39), (10, 36), (14, 18), (16, 46), (57, 59), (15, 53), (5, 24), (48, 62), (8, 41), (4, 56), (2, 43), (38, 45), (20, 42), (34, 44), (31, 54), (0, 27), (30, 40)}
63           63           976        9627            31              0.1466        {(15, 30), (1, 34), (19, 61), (52, 55), (20, 32), (11, 51), (12, 22), (0, 5), (7, 44), (46, 60), (29, 50), (16, 56), (4, 36), (23, 49), (9, 35), (10, 39), (14, 58), (25, 40), (17, 57), (24, 59), (6, 47), (26, 62), (2, 13), (3, 48), (27, 45), (33, 37), (8, 41), (18, 21), (42, 43), (28, 53), (38, 54)}
63           63           1464       14982           31              0.3344        {(42, 51), (32, 58), (22, 26), (0, 60), (14, 37), (19, 30), (2, 17), (6, 11), (12, 55), (33, 38), (13, 50), (29, 49), (3, 39), (27, 36), (56, 57), (15, 25), (8, 41), (18, 21), (28, 59), (35, 40), (4, 10), (61, 62), (46, 52), (7, 45), (34, 44), (9, 24), (31, 48), (20, 54), (1, 16), (23, 53), (5, 47)}
64           64           252        2164            28              0.0135        {(30, 43), (28, 52), (24, 36), (4, 15), (18, 44), (35, 54), (38, 59), (7, 53), (6, 60), (17, 42), (5, 40), (23, 58), (26, 29), (0, 50), (1, 45), (39, 41), (46, 56), (21, 57), (2, 13), (14, 51), (22, 55), (34, 63), (19, 47), (25, 48), (27, 32), (9, 33), (8, 37), (10, 31)}
64           64           504        4624            29              0.0459        {(19, 49), (18, 20), (28, 61), (58, 62), (46, 54), (13, 51), (29, 50), (15, 57), (11, 26), (8, 39), (24, 35), (22, 25), (2, 59), (21, 36), (6, 47), (1, 60), (23, 42), (14, 48), (9, 43), (4, 56), (0, 37), (41, 53), (7, 33), (38, 45), (10, 16), (27, 32), (17, 31), (40, 63), (3, 44)}
64           64           1008       9833            32              0.1523        {(8, 49), (9, 48), (5, 59), (16, 32), (2, 45), (21, 37), (13, 60), (29, 50), (26, 57), (0, 23), (34, 52), (1, 24), (33, 41), (61, 63), (7, 31), (35, 47), (14, 18), (4, 11), (3, 15), (12, 42), (40, 58), (27, 30), (17, 44), (25, 36), (28, 53), (10, 56), (39, 46), (38, 54), (43, 62), (20, 51), (19, 22), (6, 55)}
64           64           1512       15551           32              0.3780        {(3, 50), (31, 35), (40, 41), (39, 51), (2, 8), (34, 52), (27, 46), (36, 58), (9, 47), (17, 54), (4, 60), (6, 38), (13, 56), (22, 28), (16, 61), (10, 14), (1, 5), (45, 48), (0, 37), (29, 30), (43, 53), (7, 33), (19, 62), (18, 42), (23, 59), (21, 32), (24, 55), (49, 57), (11, 15), (12, 44), (20, 63), (25, 26)}
65           65           260        2330            29              0.0144        {(16, 20), (1, 40), (13, 51), (29, 41), (31, 44), (23, 43), (27, 34), (36, 49), (45, 58), (17, 39), (10, 33), (37, 57), (24, 35), (8, 48), (2, 38), (14, 15), (25, 55), (46, 59), (9, 28), (4, 50), (22, 64), (18, 21), (19, 47), (3, 60), (12, 63), (30, 53), (42, 61), (32, 56), (0, 6)}
65           65           520        4923            30              0.0492        {(55, 63), (2, 36), (42, 48), (20, 32), (13, 51), (29, 41), (10, 18), (12, 52), (3, 64), (30, 60), (46, 59), (22, 37), (0, 16), (1, 11), (23, 39), (21, 57), (4, 50), (27, 45), (15, 25), (17, 44), (24, 31), (19, 47), (28, 53), (33, 49), (8, 56), (35, 40), (9, 58), (38, 54), (6, 43), (26, 61)}
65           65           1040       10403           31              0.1637        {(2, 39), (21, 22), (10, 58), (6, 33), (16, 50), (48, 54), (7, 59), (23, 52), (14, 43), (37, 57), (13, 32), (26, 29), (24, 44), (51, 64), (4, 20), (25, 61), (12, 42), (31, 49), (3, 36), (28, 35), (45, 63), (11, 40), (17, 56), (8, 41), (19, 47), (1, 38), (30, 53), (27, 60), (46, 55), (9, 15), (0, 18)}
65           65           1560       16441           32              0.3771        {(17, 61), (27, 41), (15, 42), (2, 57), (43, 64), (40, 47), (1, 6), (8, 21), (39, 60), (23, 49), (33, 38), (7, 22), (35, 44), (32, 51), (29, 37), (20, 28), (11, 56), (25, 58), (0, 4), (14, 36), (19, 26), (45, 53), (5, 48), (16, 30), (3, 63), (9, 46), (50, 62), (13, 52), (24, 55), (18, 54), (12, 59), (10, 31)}
66           66           268        2359            29              0.0149        {(24, 30), (11, 42), (18, 41), (35, 63), (21, 37), (3, 31), (0, 20), (14, 49), (13, 17), (45, 58), (27, 34), (54, 64), (8, 39), (9, 44), (1, 36), (43, 51), (5, 6), (33, 53), (29, 40), (10, 60), (46, 59), (26, 65), (15, 16), (4, 50), (23, 57), (2, 22), (19, 47), (32, 56), (38, 48)}
