N Nodes      Vertices     Edges      Attemps         Operations      Time          Dominant Set
21           21           157        550             10              0.0050        {(8, 15), (1, 2), (6, 11), (4, 9), (7, 10), (16, 19), (3, 17), (13, 18), (0, 14), (5, 12)}
22           22           28         72              6               0.0003        {(6, 18), (1, 2), (12, 16), (7, 9), (4, 14), (19, 21)}
22           22           57         202             10              0.0011        {(6, 18), (10, 14), (12, 16), (0, 13), (5, 17), (1, 4), (7, 15), (9, 11), (19, 21), (2, 8)}
22           22           115        413             10              0.0031        {(0, 7), (4, 16), (9, 13), (2, 20), (5, 17), (1, 10), (12, 15), (8, 18), (6, 19), (14, 21)}
22           22           173        639             10              0.0059        {(15, 21), (1, 19), (4, 9), (10, 17), (7, 13), (3, 16), (2, 6), (8, 18), (0, 14), (5, 12)}
23           23           31         92              7               0.0004        {(6, 18), (1, 4), (3, 16), (7, 9), (12, 22), (19, 21), (2, 8)}
23           23           63         217             11              0.0011        {(10, 21), (4, 16), (1, 18), (0, 13), (5, 17), (12, 19), (15, 20), (7, 9), (11, 14), (6, 22), (2, 8)}
23           23           126        457             11              0.0035        {(7, 10), (6, 8), (12, 16), (9, 22), (2, 13), (1, 4), (15, 20), (5, 19), (0, 18), (11, 14), (3, 21)}
23           23           189        734             11              0.0071        {(0, 7), (12, 17), (5, 19), (1, 8), (2, 13), (9, 21), (15, 16), (4, 18), (3, 6), (10, 22), (11, 14)}
24           24           34         106             8               0.0005        {(9, 10), (4, 16), (7, 18), (5, 13), (1, 6), (19, 21), (12, 14), (2, 8)}
24           24           69         229             9               0.0012        {(1, 18), (7, 10), (2, 16), (12, 19), (15, 20), (0, 6), (5, 13), (4, 8), (11, 14)}
24           24           138        522             12              0.0043        {(6, 21), (0, 16), (10, 14), (5, 17), (15, 20), (22, 23), (8, 19), (1, 7), (3, 9), (2, 12), (13, 18), (4, 11)}
24           24           207        850             11              0.0082        {(17, 23), (4, 13), (0, 16), (6, 20), (9, 21), (1, 10), (5, 19), (8, 18), (15, 22), (2, 11), (7, 14)}
25           25           37         117             9               0.0005        {(8, 24), (17, 23), (2, 7), (4, 12), (5, 13), (16, 21), (9, 14), (1, 6), (10, 18)}
25           25           75         250             11              0.0014        {(8, 24), (6, 18), (4, 16), (3, 14), (17, 23), (12, 19), (10, 13), (15, 20), (1, 7), (0, 2), (9, 11)}
25           25           150        569             11              0.0046        {(8, 15), (17, 23), (10, 14), (4, 21), (1, 7), (0, 2), (19, 22), (3, 6), (9, 11), (12, 18), (13, 24)}
25           25           225        926             12              0.0093        {(17, 23), (5, 11), (10, 24), (14, 18), (16, 19), (4, 15), (12, 22), (0, 2), (1, 13), (8, 9), (3, 6), (7, 21)}
26           26           40         134             9               0.0006        {(8, 24), (6, 18), (4, 16), (5, 17), (1, 7), (0, 2), (13, 22), (19, 21), (12, 14)}
26           26           81         299             11              0.0017        {(15, 21), (10, 24), (4, 13), (6, 11), (14, 23), (5, 17), (12, 19), (3, 16), (1, 7), (0, 18), (2, 8)}
26           26           162        647             12              0.0052        {(9, 10), (17, 23), (0, 4), (11, 13), (1, 14), (24, 25), (2, 6), (3, 22), (5, 19), (12, 21), (8, 15), (7, 18)}
26           26           243        1054            13              0.0107        {(8, 24), (17, 23), (1, 15), (4, 13), (0, 9), (3, 16), (2, 6), (7, 25), (5, 19), (20, 22), (18, 21), (11, 14), (10, 12)}
27           27           43         148             10              0.0007        {(2, 14), (6, 18), (16, 26), (1, 8), (4, 12), (7, 19), (5, 13), (0, 21), (22, 25), (17, 24)}
27           27           87         308             12              0.0018        {(12, 17), (0, 16), (18, 26), (22, 25), (2, 10), (15, 20), (8, 13), (4, 21), (1, 7), (9, 24), (6, 19), (11, 14)}
27           27           175        720             12              0.0061        {(8, 15), (0, 7), (4, 10), (9, 19), (2, 13), (12, 22), (5, 16), (17, 24), (1, 26), (3, 6), (18, 21), (11, 14)}
27           27           263        1196            13              0.0126        {(11, 16), (18, 20), (0, 13), (6, 8), (17, 22), (4, 21), (19, 25), (1, 7), (5, 10), (3, 12), (14, 15), (2, 24), (9, 26)}
28           28           47         168             10              0.0008        {(2, 14), (6, 18), (0, 16), (12, 19), (1, 4), (5, 13), (15, 20), (22, 25), (17, 24), (7, 8)}
28           28           94         349             11              0.0020        {(8, 24), (1, 18), (4, 13), (0, 16), (6, 11), (14, 23), (7, 10), (15, 20), (2, 12), (25, 27), (9, 26)}
28           28           189        801             13              0.0068        {(0, 1), (14, 24), (15, 21), (11, 23), (4, 13), (9, 19), (5, 8), (6, 27), (10, 26), (16, 25), (2, 12), (3, 22), (7, 18)}
28           28           283        1304            13              0.0140        {(15, 21), (4, 10), (3, 23), (1, 24), (7, 9), (8, 13), (14, 19), (22, 26), (6, 16), (25, 27), (0, 18), (2, 11), (5, 12)}
29           29           50         185             11              0.0008        {(6, 18), (2, 4), (0, 26), (14, 23), (1, 8), (7, 19), (5, 13), (12, 15), (22, 25), (17, 24), (3, 21)}
29           29           101        399             12              0.0023        {(2, 4), (16, 26), (8, 27), (12, 17), (14, 23), (0, 13), (3, 15), (24, 25), (1, 10), (9, 11), (6, 19), (7, 18)}
29           29           203        870             12              0.0077        {(9, 16), (2, 27), (7, 10), (11, 19), (6, 8), (14, 26), (1, 4), (17, 28), (15, 25), (3, 22), (0, 18), (13, 24)}
29           29           304        1444            14              0.0158        {(9, 10), (18, 27), (0, 7), (16, 20), (12, 23), (14, 17), (6, 8), (11, 28), (4, 21), (22, 26), (2, 25), (1, 19), (3, 15), (13, 24)}
30           30           54         219             13              0.0010        {(8, 24), (6, 18), (4, 26), (2, 14), (25, 29), (17, 23), (0, 13), (5, 27), (1, 7), (10, 19), (12, 15), (9, 11), (3, 21)}
30           30           108        463             12              0.0027        {(8, 24), (12, 27), (2, 4), (17, 23), (0, 13), (1, 7), (26, 29), (19, 28), (9, 11), (6, 25), (3, 15), (10, 18)}
30           30           217        985             15              0.0089        {(14, 24), (7, 26), (20, 22), (5, 17), (3, 16), (13, 19), (2, 9), (11, 25), (12, 21), (23, 28), (1, 10), (0, 18), (4, 27), (8, 15), (6, 29)}
30           30           326        1611            14              0.0181        {(1, 28), (14, 24), (0, 4), (6, 15), (12, 20), (10, 27), (2, 16), (21, 22), (17, 19), (8, 9), (5, 29), (13, 18), (7, 11), (25, 26)}
31           31           58         219             10              0.0010        {(2, 14), (8, 30), (12, 17), (24, 27), (0, 26), (1, 4), (5, 13), (6, 29), (7, 18), (3, 21)}
31           31           116        515             14              0.0031        {(2, 14), (5, 19), (4, 13), (6, 11), (12, 29), (24, 25), (1, 7), (23, 28), (3, 21), (16, 30), (8, 15), (0, 27), (10, 18), (9, 26)}
31           31           232        1082            14              0.0098        {(0, 7), (13, 14), (8, 27), (9, 19), (6, 11), (25, 28), (1, 24), (12, 29), (2, 16), (22, 23), (10, 26), (4, 18), (21, 30), (3, 15)}
31           31           348        1771            15              0.0203        {(8, 27), (15, 30), (6, 9), (18, 26), (7, 16), (4, 25), (22, 23), (3, 21), (17, 28), (5, 19), (1, 29), (0, 14), (10, 12), (2, 11), (13, 24)}
32           32           62         259             13              0.0012        {(24, 30), (2, 4), (11, 26), (3, 27), (0, 13), (5, 16), (17, 31), (10, 19), (22, 29), (1, 6), (8, 15), (7, 18), (12, 14)}
32           32           124        561             13              0.0035        {(1, 18), (17, 23), (0, 26), (15, 24), (7, 10), (11, 13), (12, 29), (21, 27), (9, 31), (3, 16), (8, 19), (6, 25), (4, 30)}
32           32           248        1222            15              0.0114        {(18, 21), (24, 30), (17, 23), (0, 26), (9, 19), (11, 29), (12, 22), (6, 13), (16, 25), (1, 10), (7, 31), (3, 28), (4, 27), (14, 15), (2, 8)}
32           32           372        1948            16              0.0232        {(6, 18), (14, 30), (13, 27), (4, 29), (12, 20), (24, 26), (15, 23), (0, 3), (5, 17), (2, 21), (1, 7), (10, 16), (19, 25), (9, 11), (8, 31), (22, 28)}
33           33           66         269             11              0.0013        {(0, 1), (12, 17), (7, 13), (8, 29), (11, 18), (21, 25), (2, 28), (6, 32), (3, 22), (16, 24), (4, 30)}
