N Nodes,Vertices,Edges,Attemps,Operations,Time
56,56,385,26,3138,0.0282
56,56,770,27,6764,0.0936
56,56,1155,28,10452,0.2070
57,57,199,24,1561,0.0090
57,57,399,26,3330,0.0302
57,57,798,28,7127,0.0995
57,57,1197,28,11096,0.2243
58,58,206,24,1540,0.0091
58,58,413,27,3435,0.0314
58,58,826,28,7575,0.1076
58,58,1239,29,11753,0.2442
59,59,213,25,1671,0.0100
59,59,427,27,3703,0.0347
59,59,855,29,8040,0.1160
59,59,1283,29,12296,0.2598
60,60,221,27,1824,0.0108
60,60,442,28,3907,0.0371
60,60,885,30,8366,0.1216
60,60,1327,29,12982,0.2787
61,61,228,23,1775,0.0109
61,61,457,27,3935,0.0379
61,61,915,30,8786,0.1300
61,61,1372,30,13575,0.2953
62,62,236,27,1935,0.0117
62,62,472,30,4188,0.0407
62,62,945,31,9233,0.1392
62,62,1418,30,14425,0.3173
63,63,244,27,2048,0.0128
63,63,488,29,4419,0.0432
63,63,976,31,9627,0.1466
63,63,1464,31,14982,0.3344
64,64,252,28,2164,0.0135
64,64,504,29,4624,0.0459
64,64,1008,32,9833,0.1523
64,64,1512,32,15551,0.3780
65,65,260,29,2330,0.0144
65,65,520,30,4923,0.0492
65,65,1040,31,10403,0.1637
65,65,1560,32,16441,0.3771
66,66,268,29,2359,0.0149
66,66,536,32,5225,0.0533
66,66,1072,32,10956,0.1744
66,66,1608,33,17470,0.4083
67,67,276,30,2537,0.0160
67,67,552,32,5307,0.0543
67,67,1105,32,11504,0.1852
67,67,1658,33,18400,0.4342
68,68,284,28,2571,0.0166
68,68,569,31,5656,0.0584
68,68,1139,33,11994,0.1964
68,68,1708,34,18864,0.4503
69,69,293,29,2645,0.0172
69,69,586,32,5736,0.0601
69,69,1173,33,12518,0.2074
69,69,1759,34,19610,0.4768
70,70,301,31,2809,0.0186
70,70,603,32,6020,0.0634
70,70,1207,34,13158,0.2215
70,70,1811,35,20830,0.5133
71,71,310,29,2890,0.0195
71,71,621,33,6328,0.0671
71,71,1242,34,13939,0.2402
71,71,1863,35,21426,0.5401
72,72,319,31,3011,0.0207
72,72,639,34,6498,0.0700
72,72,1278,35,14304,0.2495
72,72,1917,35,22360,0.5656
73,73,328,33,3168,0.0220
73,73,657,35,6775,0.0746
73,73,1314,36,14996,0.2660
73,73,1971,36,23530,0.6074
74,74,337,33,3227,0.0228
74,74,675,34,7128,0.0790
74,74,1350,36,15546,0.2799
74,74,2025,36,24355,0.6634
75,75,346,32,3370,0.0238
75,75,693,35,7563,0.0850
75,75,1387,36,16259,0.2975
75,75,2081,37,25530,0.6736
76,76,356,34,3518,0.0253
76,76,712,35,7705,0.0877
76,76,1425,37,16941,0.3148
76,76,2137,37,26490,0.7112
77,77,365,35,3668,0.0266
77,77,731,36,8080,0.0921
77,77,1463,38,17549,0.3327
77,77,2194,38,27241,0.7396
78,78,375,33,3730,0.0274
78,78,750,37,8342,0.0960
78,78,1501,37,18287,0.3523
78,78,2252,39,28396,0.7825
79,79,385,36,3886,0.0292
79,79,770,37,8773,0.1028
79,79,1540,39,19042,0.3758
79,79,2310,39,29886,0.8826
80,80,395,35,4094,0.0368
80,80,790,38,9214,0.1265
80,80,1580,39,19753,0.4726
80,80,2370,39,31366,1.1186
81,81,405,35,4300,0.0418
81,81,810,39,9584,0.1469
81,81,1620,40,20454,0.5171
81,81,2430,40,31939,1.1141
82,82,415,38,4523,0.0417
82,82,830,38,9907,0.1483
82,82,1660,40,21557,0.5495
82,82,2490,41,33135,1.1583
83,83,425,38,4528,0.0423
83,83,850,39,10067,0.1504
83,83,1701,41,22067,0.5632
83,83,2552,40,34500,1.2104
84,84,435,37,4766,0.0444
84,84,871,38,10593,0.1574
84,84,1743,41,22960,0.6010
84,84,2614,41,35551,1.2578
85,85,446,37,4945,0.0473
85,85,892,40,10897,0.1909
85,85,1785,42,23750,0.6492
85,85,2677,42,37253,1.3308
86,86,456,40,5233,0.0503
86,86,913,40,11281,0.1675
86,86,1827,42,24734,0.6583
86,86,2741,43,38286,1.3715
87,87,467,39,5442,0.0527
87,87,935,40,11752,0.1760
87,87,1870,42,25544,0.6874
