N Nodes,Vertices,Edges,Operations,Time
5,5,1,7,0.0000
5,5,2,33,0.0000
5,5,5,677,0.0000
5,5,7,4101,0.0010
6,6,1,4108,0.0000
6,6,3,4203,0.0000
6,6,7,7669,0.0020
6,6,11,99486,0.0512
7,7,2,99517,0.0000
7,7,5,100110,0.0010
7,7,10,140904,0.0231
7,7,15,2273691,1.3771
8,8,3,2273766,0.0000
8,8,7,2277356,0.0020
8,8,14,3298606,0.6584
8,8,21,204653382,132.5073
9,9,4,204653629,0.0000
9,9,9,204671132,0.0110
9,9,18,225369314,13.2589
